Winner,Loser
/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv48.png,/Users/robinhendel/Code/github/image-ranker/images/1_2_Qr56.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr48.png,/Users/robinhendel/Code/github/image-ranker/images/1_2_Qr56.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr48.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv56.png
/Users/robinhendel/Code/github/image-ranker/images/1_2_Qr64.png,/Users/robinhendel/Code/github/image-ranker/images/1_2_Qr56.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv64.png,/Users/robinhendel/Code/github/image-ranker/images/1_2_Qr64.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr48.png,/Users/robinhendel/Code/github/image-ranker/images/1_2_Qr64.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv48.png,/Users/robinhendel/Code/github/image-ranker/images/1_2_Qr64.png
/Users/robinhendel/Code/github/image-ranker/images/1_2_Qr56.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr64.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr48.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv64.png
/Users/robinhendel/Code/github/image-ranker/images/1_2_Qr64.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv56.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv64.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv56.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv48.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr56.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv56.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr64.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv48.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr64.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr56.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv64.png
/Users/robinhendel/Code/github/image-ranker/images/1_2_Qr64.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr64.png
/Users/robinhendel/Code/github/image-ranker/images/1_2_Qr56.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv64.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr64.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr56.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr48.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv48.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr48.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr64.png
/Users/robinhendel/Code/github/image-ranker/images/1_2_Qr56.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr56.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr56.png,/Users/robinhendel/Code/github/image-ranker/images/1_2_Qr64.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv64.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv48.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv56.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv48.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr56.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr48.png
/Users/robinhendel/Code/github/image-ranker/images/1_2_Qr56.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv56.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr56.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv56.png
/Users/robinhendel/Code/github/image-ranker/images/1_3_Qr64.png,/Users/robinhendel/Code/github/image-ranker/images/1_3_Bv64.png
